vorm,modus,tempus,genus,persoon,getal,stam
res,coniunctivus,imperfectum,activum,tweede,singularis,praesens
ret,coniunctivus,imperfectum,activum,derde,singularis,praesens
remus,coniunctivus,imperfectum,activum,eerste,pluralis,praesens
retis,coniunctivus,imperfectum,activum,tweede,pluralis,praesens
rent,coniunctivus,imperfectum,activum,derde,pluralis,praesens
erim,coniunctivus,perfectum,activum,eerste,singularis,perfectum
eris,coniunctivus,perfectum,activum,tweede,singularis,perfectum
erit,coniunctivus,perfectum,activum,derde,singularis,perfectum
erimus,coniunctivus,perfectum,activum,eerste,pluralis,perfectum
eritis,coniunctivus,perfectum,activum,tweede,pluralis,perfectum
erint,coniunctivus,perfectum,activum,derde,pluralis,perfectum
issem,coniunctivus,plusquamperfectum,activum,eerste,singularis,perfectum
isses,coniunctivus,plusquamperfectum,activum,tweede,singularis,perfectum
isset,coniunctivus,plusquamperfectum,activum,derde,singularis,perfectum
issemus,coniunctivus,plusquamperfectum,activum,eerste,pluralis,perfectum
issetis,coniunctivus,plusquamperfectum,activum,tweede,pluralis,perfectum
issent,coniunctivus,plusquamperfectum,activum,derde,pluralis,perfectum
ar,coniunctivus,praesens,passivum,eerste,singularis,praesens
aris,coniunctivus,praesens,passivum,tweede,singularis,praesens
atur,coniunctivus,praesens,passivum,derde,singularis,praesens
amur,coniunctivus,praesens,passivum,eerste,pluralis,praesens
amini,coniunctivus,praesens,passivum,tweede,pluralis,praesens
antur,coniunctivus,praesens,passivum,derde,pluralis,praesens
rer,coniunctivus,imperfectum,passivum,eerste,singularis,praesens
reris,coniunctivus,imperfectum,passivum,tweede,singularis,praesens
retur,coniunctivus,imperfectum,passivum,derde,singularis,praesens
remur,coniunctivus,imperfectum,passivum,eerste,pluralis,praesens
remini,coniunctivus,imperfectum,passivum,tweede,pluralis,praesens
rentur,coniunctivus,imperfectum,passivum,derde,pluralis,praesens
us sim,coniunctivus,perfectum,passivum,eerste,singularis,supinum
us sis,coniunctivus,perfectum,passivum,tweede,singularis,supinum
us sit,coniunctivus,perfectum,passivum,derde,singularis,supinum
i simus,coniunctivus,perfectum,passivum,eerste,pluralis,supinum
i sitis,coniunctivus,perfectum,passivum,tweede,pluralis,supinum
i sint,coniunctivus,perfectum,passivum,derde,pluralis,supinum
us essem,coniunctivus,plusquamperfectum,passivum,eerste,singularis,supinum
us esses,coniunctivus,plusquamperfectum,passivum,tweede,singularis,supinum
us esset,coniunctivus,plusquamperfectum,passivum,derde,singularis,supinum
i essemus,coniunctivus,plusquamperfectum,passivum,eerste,pluralis,supinum
i essetis,coniunctivus,plusquamperfectum,passivum,tweede,pluralis,supinum
i essent,coniunctivus,plusquamperfectum,passivum,derde,pluralis,supinum
,imperativus,praesens,activum,tweede,singularis,praesens
te,imperativus,praesens,activum,tweede,pluralis,praesens
ns,participium,praesens,activum,,singularis,infinitivus
us,participium,perfectum,passivum,,singularis,supinum
urus,participium,futurum,activum,,singularis,supinum
re,infinitivus,praesens,activum,,,infinitivus
isse,infinitivus,perfectum,activum,,,perfectum
urus esse,infinitivus,futurum,activum,,,supinum
ri,infinitivus,praesens,passivum,,,infinitivus
us esse,infinitivus,perfectum,passivum,,,supinum
um iri,infinitivus,futurum,passivum,,,supinum
